ground_id,dimensions,layers,tiles,chunks,collision,animations,status,composite_png
A01P01,60x48 tuiles,2,474,140,PROVEN,"[0, 0, 0, 0]",PARTIAL,
A02P01,60x45 tuiles,1,412,195,PROVEN,"[0, 0, 0, 0]",FULL,grounds/A02P01/composite.png
A02P02,?,0,0,0,?,,BLOCKED,
A02P03,45x36 tuiles,1,855,176,PROVEN,"[0, 0, 0, 0]",FULL,grounds/A02P03/composite.png
A02P04,?,0,0,0,?,,BLOCKED,
A03P01,120x36 tuiles,1,810,117,PROVEN,"[0, 0, 0, 0]",FULL,grounds/A03P01/composite.png
A03P03,120x36 tuiles,1,865,117,PROVEN,"[0, 0, 0, 0]",FULL,grounds/A03P03/composite.png
A04P01,?,0,0,0,?,,BLOCKED,
A04P02,36x27 tuiles,1,517,74,PROVEN,"[0, 0, 0, 0]",FULL,grounds/A04P02/composite.png
A04P03,?,0,0,0,?,,BLOCKED,
A04P04,42x30 tuiles,2,199,71,PROVEN,"[0, 0, 0, 0]",PARTIAL,
A05P01,?,0,0,0,?,,BLOCKED,
A05P02,?,0,0,0,?,,BLOCKED,
A05P03,39x30 tuiles,1,26,20,PROVEN,"[0, 0, 0, 0]",FULL,grounds/A05P03/composite.png
A05P03F,39x30 tuiles,1,20,20,PROVEN,"[0, 0, 0, 0]",FULL,grounds/A05P03F/composite.png
A05P03G,39x30 tuiles,1,26,18,PROVEN,"[0, 0, 0, 0]",FULL,grounds/A05P03G/composite.png
A05P03I,39x30 tuiles,1,27,20,PROVEN,"[0, 0, 0, 0]",FULL,grounds/A05P03I/composite.png
A05P03S,39x30 tuiles,1,20,20,PROVEN,"[0, 0, 0, 0]",FULL,grounds/A05P03S/composite.png
B01P01A,69x69 tuiles,1,466,367,PROVEN,"[16, 0, 0, 0]",FULL,grounds/B01P01A/composite.png
B01P01B,69x69 tuiles,1,542,368,PROVEN,"[16, 0, 6, 0]",PARTIAL,
B01P01C,?,0,0,0,?,,BLOCKED,
B01P02C,60x60 tuiles,1,760,159,PROVEN,"[0, 0, 0, 0]",FULL,grounds/B01P02C/composite.png
B02P01C,?,0,0,0,?,,BLOCKED,
B03P01C,?,0,0,0,?,,BLOCKED,
B04P01C,?,0,0,0,?,,BLOCKED,
B05P01A,?,0,0,0,?,,BLOCKED,
B05P01B,?,0,0,0,?,,BLOCKED,
B05P01C,?,0,0,0,?,,BLOCKED,
B05P02C,?,0,0,0,?,,BLOCKED,
B06P01C,?,0,0,0,?,,BLOCKED,
B07P01C,?,0,0,0,?,,BLOCKED,
B08P01C,?,0,0,0,?,,BLOCKED,
B09P01A,69x69 tuiles,1,688,378,PROVEN,"[28, 0, 0, 0]",FULL,grounds/B09P01A/composite.png
B09P01B,69x69 tuiles,1,759,380,PROVEN,"[26, 0, 6, 0]",PARTIAL,
B09P01C,69x69 tuiles,1,708,380,PROVEN,"[30, 0, 0, 0]",PARTIAL,
B09P02C,?,0,0,0,?,,BLOCKED,
B10P01C,69x69 tuiles,1,687,380,PROVEN,"[26, 0, 0, 0]",FULL,grounds/B10P01C/composite.png
B11P01C,69x69 tuiles,1,695,380,PROVEN,"[27, 0, 0, 0]",FULL,grounds/B11P01C/composite.png
B12P01A,69x69 tuiles,1,531,381,PROVEN,"[16, 0, 0, 0]",PARTIAL,
B12P01B,69x69 tuiles,1,627,381,PROVEN,"[16, 0, 6, 0]",PARTIAL,
B12P01C,69x69 tuiles,1,576,380,PROVEN,"[16, 0, 0, 0]",PARTIAL,
B12P02C,60x60 tuiles,1,696,172,PROVEN,"[0, 0, 0, 0]",FULL,grounds/B12P02C/composite.png
B13P01C,69x69 tuiles,1,577,380,PROVEN,"[16, 0, 0, 0]",FULL,grounds/B13P01C/composite.png
B14P01A,69x69 tuiles,1,593,379,PROVEN,"[16, 0, 0, 0]",PARTIAL,
B14P01B,69x69 tuiles,1,642,379,PROVEN,"[16, 0, 6, 0]",PARTIAL,
B14P01C,69x69 tuiles,1,607,378,PROVEN,"[16, 0, 0, 0]",FULL,grounds/B14P01C/composite.png
B14P02C,60x60 tuiles,1,727,172,PROVEN,"[0, 0, 0, 0]",FULL,grounds/B14P02C/composite.png
B15P01C,69x69 tuiles,1,645,378,PROVEN,"[16, 0, 0, 0]",FULL,grounds/B15P01C/composite.png
B16P01C,69x69 tuiles,1,620,378,PROVEN,"[16, 0, 0, 0]",FULL,grounds/B16P01C/composite.png
D01P01,54x45 tuiles,1,184,144,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D01P01/composite.png
D01P02,45x42 tuiles,1,106,17,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D01P02/composite.png
D02P01,48x39 tuiles,1,516,131,PROVEN,"[0, 0, 0, 0]",PARTIAL,
D02P02,45x42 tuiles,1,106,17,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D02P02/composite.png
D03P01,45x39 tuiles,1,609,182,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D03P01/composite.png
D03P02,57x69 tuiles,1,505,242,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D03P02/composite.png
D04P01,57x48 tuiles,1,209,125,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D04P01/composite.png
D04P02,69x72 tuiles,1,135,153,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D04P02/composite.png
D05P01,84x30 tuiles,2,894,0,PROVEN,"[0, 0, 0, 0]",PARTIAL,
D05P02,45x51 tuiles,1,106,17,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D05P02/composite.png
D06P01,51x36 tuiles,1,827,150,PROVEN,"[0, 0, 0, 0]",PARTIAL,
D06P02,57x57 tuiles,1,106,17,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D06P02/composite.png
D06P03,57x57 tuiles,1,474,205,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D06P03/composite.png
D07P01,57x30 tuiles,1,656,184,PROVEN,"[0, 0, 0, 0]",PARTIAL,
D08P01,45x36 tuiles,1,873,176,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D08P01/composite.png
D08P02,45x36 tuiles,1,855,176,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D08P02/composite.png
D09P01,?,0,0,0,?,,BLOCKED,
D09P02,57x57 tuiles,1,106,17,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D09P02/composite.png
D09P03,69x69 tuiles,1,467,234,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D09P03/composite.png
D10P01,33x42 tuiles,1,860,122,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D10P01/composite.png
D10P02,57x57 tuiles,1,106,17,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D10P02/composite.png
D10P03,66x63 tuiles,1,453,0,PROVEN,"[0, 0, 0, 0]",PARTIAL,
D11P01,?,0,0,0,?,,BLOCKED,
D11P02,57x57 tuiles,1,106,17,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D11P02/composite.png
D11P03,63x63 tuiles,1,509,200,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D11P03/composite.png
D12P01,?,0,0,0,?,,BLOCKED,
D12P02,57x57 tuiles,1,106,17,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D12P02/composite.png
D12P04,63x63 tuiles,1,497,141,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D12P04/composite.png
D13P01,?,0,0,0,?,,BLOCKED,
D13P02,57x57 tuiles,1,106,17,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D13P02/composite.png
D13P03,69x75 tuiles,1,503,229,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D13P03/composite.png
D14P01,?,0,0,0,?,,BLOCKED,
D15P01,?,0,0,0,?,,BLOCKED,
D16P01,45x45 tuiles,1,106,17,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D16P01/composite.png
D17P01,48x45 tuiles,1,106,17,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D17P01/composite.png
D18P01,45x42 tuiles,1,106,17,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D18P01/composite.png
D19P01,66x63 tuiles,1,488,219,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D19P01/composite.png
D20P01,45x42 tuiles,1,106,17,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D20P01/composite.png
D21P01,63x60 tuiles,1,511,0,PROVEN,"[0, 0, 0, 0]",PARTIAL,
