seq_index,nom,file_id,fat_offset,fat_size,magic
0,SND_BGM_M_DUMMY,0,0x70c0,444,SSEQ
1,SND_BGM_M_HABITAT_HOME01,1,0x7280,3844,SSEQ
2,SND_BGM_M_HABITAT_DARK_01,2,0x81a0,4728,SSEQ
3,SND_BGM_M_HABITAT_MYSTIC_01,3,0x9420,3920,SSEQ
4,SND_BGM_M_EVENT_DREAM_01,4,0xa380,1808,SSEQ
5,SND_BGM_M_EVENT_DREAM_02,5,0xaaa0,4108,SSEQ
6,SND_BGM_M_EVENT_LEGEND_01,6,0xbac0,3184,SSEQ
7,SND_BGM_M_HABITAT_HIROBA,7,0xc740,7556,SSEQ
8,SND_BGM_M_HABITAT_HOME_SHINKA,8,0xe4e0,1912,SSEQ
9,SND_BGM_M_EVENT_FEAR,9,0xec60,2176,SSEQ
10,SND_BGM_M_EVENT_KINPAKU,10,0xf4e0,3464,SSEQ
11,SND_BGM_M_BOSS01,11,0x10280,5968,SSEQ
12,SND_BGM_M_EVENT_YUME,12,0x119e0,3544,SSEQ
13,SND_BGM_M_DUNGEON_GENERAL_01,13,0x127c0,4860,SSEQ
14,SND_BGM_M_DUNGEON_DENJIHA_01,14,0x13ac0,6488,SSEQ
15,SND_BGM_M_DUNGEON_AYASHIIMORI_01,15,0x15420,9948,SSEQ
16,SND_BGM_M_HABITAT_CALMLY_02,16,0x17b00,5668,SSEQ
17,SND_BGM_M_SYS_SHOP,17,0x19140,4072,SSEQ
18,SND_BGM_M_SYS_STEAL,18,0x1a140,6832,SSEQ
19,SND_BGM_M_EVENT_DISASTER,19,0x1bc00,3220,SSEQ
20,SND_BGM_M_DUNGEON_KYOUKOKU_01,20,0x1c8a0,10312,SSEQ
21,SND_BGM_M_DUNGEON_GENERAL_02,21,0x1f100,8576,SSEQ
22,SND_BGM_M_DUNGEON_TENKUU_01,22,0x21280,15752,SSEQ
23,SND_BGM_M_DUNGEON_TENKUU_02,23,0x25020,6796,SSEQ
24,SND_BGM_M_EVENT_ESCAPE_01,24,0x26ac0,11892,SSEQ
25,SND_BGM_M_DUNGEON_HONOU_01,25,0x29940,8276,SSEQ
26,SND_BGM_M_DUNGEON_EVENTFLOOR_02,26,0x2b9a0,7096,SSEQ
27,SND_BGM_M_HABITAT_ITADAKI_01,27,0x2d560,12804,SSEQ
28,SND_BGM_M_HABITAT_NIJI_01,28,0x30780,9472,SSEQ
29,SND_BGM_M_EVENT_ENV_MYSTIC,29,0x32c80,6296,SSEQ
30,SND_BGM_M_HABITAT_KAIRYU_01,30,0x34520,5752,SSEQ
31,SND_BGM_M_HABITAT_KAITEI_01,31,0x35ba0,5428,SSEQ
32,SND_BGM_M_BOSS02,32,0x370e0,17792,SSEQ
33,SND_BGM_M_DUNGEON_HONOU_02,33,0x3b660,3952,SSEQ
34,SND_BGM_M_HABITAT_DAICHI_01,34,0x3c5e0,4584,SSEQ
